Manufacturer,Screen_Size,RAM,GPU,Operating_System,Operating_System_Version,Weight,Storage_Capacity,Storage_Type,CPU_brand,CPU_freq,CPU_cores,CPU_model,Screen_Resolution,Screen_Model,GPU_brand
Dell,15.6,16,Nvidia GeForce GTX 1050,Windows,10,2.06,512,SSD,Intel,2.8,4,Core i7 7700HQ,3840x2160,4K Ultra HD / Touchscreen,Nvidia
HP,15.6,8,Intel HD Graphics 620,Windows,10,1.84,256,SSD,Intel,2.7,2,Core i7 7500U,1920x1080,Full HD,Intel
MSI,17.3,8,Nvidia GeForce GTX 1060,Windows,10,2.7,1152,SSD + HDD,Intel,2.8,4,Core i7 7700HQ,1920x1080,Full HD,Nvidia
HP,15.6,8,Nvidia Quadro M1200,Windows,10,2.6,256,SSD,Intel,2.8,4,Core i7 7700HQ,1920x1080,Full HD,Nvidia
Toshiba,15.6,16,Nvidia GeForce 930M,Windows,10,2.4,512,SSD,Intel,2.5,2,Core i7 6500U,1920x1080,IPS Panel Full HD,Nvidia
Dell,15.6,8,AMD Radeon 530,Windows,10,2.02,2176,SSD + HDD,Intel,1.8,4,Core i7 8550U,1920x1080,Full HD,AMD
Lenovo,15.6,4,Intel HD Graphics 500,No OS,No OS,2.2,1024,HDD,Intel,1.1,2,Celeron Dual Core N3350,1366x768,Unknown,Intel
Dell,15.6,8,Nvidia GeForce GTX 1050,Windows,10,2.65,1024,HDD,Intel,2.5,4,Core i5 7300HQ,1920x1080,Full HD,Nvidia
Dell,15.6,8,Intel HD Graphics 620,Windows,10,2.36,2048,HDD,Intel,2.5,2,Core i5 7200U,1366x768,Touchscreen,Intel
Dell,14.0,8,Intel HD Graphics 620,Windows,10,1.36,256,SSD,Intel,2.6,2,Core i5 7300U,1920x1080,Full HD,Intel
HP,15.6,4,Intel HD Graphics 520,Windows,10,1.86,500,HDD,Intel,2.0,2,Core i3 6006U,1366x768,Unknown,Intel
Asus,14.0,8,Intel HD Graphics 620,Windows,10,2.0,256,SSD,Intel,2.5,2,Core i5 7200U,1920x1080,Full HD,Intel
Lenovo,17.3,6,Nvidia GeForce GTX 940MX,Windows,10,2.8,1152,SSD + HDD,Intel,2.5,2,Core i5 7200U,1600x900,Unknown,Nvidia
HP,15.6,8,Intel HD Graphics 620,Windows,10,1.86,1024,HDD,Intel,2.5,2,Core i5 7200U,1920x1080,Full HD,Intel
Lenovo,15.6,8,Nvidia GeForce 920MX ,No OS,No OS,2.2,256,SSD,Intel,2.0,2,Core i3 6006U,1366x768,Unknown,Nvidia
HP,15.6,8,Intel HD Graphics 405,Windows,10,2.04,2048,HDD,Intel,1.6,4,Pentium Quad Core N3710,1366x768,Unknown,Intel
Dell,17.3,8,AMD Radeon 530,Windows,10,2.8,1152,SSD + HDD,Intel,1.6,4,Core i5 8250U,1920x1080,Full HD,AMD
Lenovo,15.6,8,Nvidia GeForce GTX 1050,No OS,No OS,2.4,1152,SSD + HDD,Intel,2.5,4,Core i5 7300HQ,1920x1080,IPS Panel Full HD,Nvidia
Dell,15.6,8,AMD Radeon R7 M445,Windows,10,2.33,256,SSD,Intel,2.7,2,Core i7 7500U,1920x1080,Full HD,AMD
HP,14.0,8,Intel HD Graphics 620,Windows,10,1.36,256,SSD,Intel,2.7,2,Core i7 7500U,1920x1080,IPS Panel Full HD,Intel
Asus,15.6,12,Nvidia GeForce GT 940MX,Windows,10,2.26,2560,SSD + HDD,Intel,2.7,2,Core i7 7500U,1920x1080,Full HD / Touchscreen,Nvidia
Acer,15.6,4,AMD Radeon R5,Windows,10,2.1,128,SSD,AMD,3.0,2,A9 Series 9420,1366x768,Unknown,AMD
Asus,17.3,16,AMD Radeon RX 580,Windows,10,3.25,1280,SSD + HDD,AMD,3.0,8,Ryzen 1700,1920x1080,IPS Panel Full HD,AMD
Lenovo,17.3,4,AMD Radeon R5,Windows,10,2.6,128,SSD,AMD,2.2,4,A8 Series 7410,1600x900,Unknown,AMD
Dell,13.3,8,Intel UHD Graphics 620,Windows,10,1.62,256,SSD,Intel,1.8,4,Core i7 8550U,1920x1080,Full HD / Touchscreen,Intel
HP,15.6,4,AMD Radeon R5,Windows,10,1.91,256,SSD,AMD,3.0,2,A9 Series 9420,1920x1080,Full HD,AMD
Lenovo,11.6,4,Intel HD Graphics 500,Windows,10,1.59,128,SSD,Intel,1.1,4,Celeron Quad Core N3450,1366x768,IPS Panel,Intel
Dell,15.6,4,Intel HD Graphics 400,Windows,10,1.8,500,HDD,Intel,1.6,2,Celeron Dual Core N3060,1366x768,Unknown,Intel
Asus,14.0,4,Intel HD Graphics 500,Windows,10,1.5,32,Flash Storage,Intel,1.1,2,Celeron Dual Core N3350,1366x768,Unknown,Intel
Acer,15.6,8,Nvidia GeForce GTX 1050,Linux,Ubuntu,2.4,1024,HDD,Intel,2.8,4,Core i7 7700HQ,1920x1080,Full HD,Nvidia
HP,17.3,8,Nvidia GeForce GTX 1050,Windows,10,3.35,1152,SSD + HDD,Intel,2.8,4,Core i7 7700HQ,1920x1080,IPS Panel Full HD,Nvidia
Lenovo,15.6,4,Intel HD Graphics 520,No OS,No OS,1.85,128,SSD,Intel,2.0,2,Core i3 6006U,1920x1080,Full HD,Intel
Asus,15.6,8,Nvidia GeForce GTX 1060,Windows,10,2.3,1152,SSD + HDD,Intel,2.8,4,Core i7 7700HQ,1920x1080,IPS Panel Full HD,Nvidia
Lenovo,14.0,8,Nvidia GeForce 940MX,Windows,10,1.5,256,SSD,Intel,2.5,2,Core i5 7200U,1920x1080,IPS Panel Full HD,Nvidia
Asus,13.3,16,Intel HD Graphics 620,Windows,10,1.1,512,SSD,Intel,2.7,2,Core i7 7500U,1920x1080,Full HD / Touchscreen,Intel
Lenovo,14.0,8,Intel HD Graphics 620,Windows,10,1.13,512,SSD,Intel,2.7,2,Core i7 7500U,2560x1440,IPS Panel,Intel
Lenovo,13.3,4,Intel HD Graphics 620,Windows,10,1.5,128,SSD,Intel,2.4,2,Core i3 7100U,1920x1080,IPS Panel Full HD,Intel
Dell,15.6,8,AMD FirePro W5130M,Windows,10,2.23,500,HDD,Intel,2.6,4,Core i5 6440HQ,1920x1080,Full HD,AMD
Dell,15.6,8,Nvidia Quadro M1200,Windows,10,2.0,256,SSD,Intel,2.7,4,Core i7 6820HQ,1920x1080,IPS Panel Full HD,Nvidia
Lenovo,14.0,16,Intel HD Graphics 620,Windows,10,1.42,512,SSD,Intel,2.7,2,Core i7 7500U,2560x1440,Touchscreen,Intel
Asus,17.3,8,Nvidia GeForce GTX 1050,Windows,10,3.0,1024,HDD,Intel,2.8,4,Core i7 7700HQ,1920x1080,Full HD,Nvidia
Asus,17.3,16,Nvidia GeForce GTX 1050 Ti,Windows,10,3.0,1280,SSD + HDD,Intel,2.8,4,Core i7 7700HQ,1920x1080,Full HD,Nvidia
Acer,15.6,12,Nvidia GeForce MX130,Windows,10,2.2,1024,HDD,Intel,1.6,4,Core i5 8250U,1366x768,IPS Panel,Nvidia
MSI,17.3,8,Nvidia GeForce GTX 1050 Ti,Windows,10,2.7,256,SSD,Intel,2.8,4,Core i7 7700HQ,1920x1080,Full HD,Nvidia
Dell,15.6,8,AMD Radeon R7 M445,Linux,Ubuntu,2.33,256,SSD,Intel,2.7,2,Core i7 7500U,1920x1080,Full HD,AMD
HP,15.6,4,AMD Radeon 520,Windows,10,1.91,256,SSD,AMD,3.0,2,A9 Series 9420,1920x1080,Full HD,AMD
Lenovo,15.6,8,AMD Radeon RX 550,Windows,10,2.1,256,SSD,Intel,1.8,4,Core i7 8550U,1920x1080,IPS Panel Full HD,AMD
Lenovo,14.0,8,Intel HD Graphics 620,Windows,10,1.9,256,SSD,Intel,2.5,2,Core i5 7200U,1920x1080,IPS Panel Full HD,Intel
Dell,15.6,8,Nvidia Quadro M1200,Windows,10,1.78,256,SSD,Intel,2.8,4,Core i7 7700HQ,3840x2160,4K Ultra HD / Touchscreen,Nvidia
Lenovo,14.0,16,Intel HD Graphics 620,Windows,10,1.13,1024,SSD,Intel,2.7,2,Core i7 7500U,2560x1440,IPS Panel,Intel
Lenovo,15.6,4,Intel HD Graphics 500,Windows,10,2.2,1024,HDD,Intel,1.1,2,Celeron Dual Core N3350,1366x768,Unknown,Intel
Asus,17.3,16,Nvidia GeForce GTX 1050,Windows,10,2.9,1280,SSD + HDD,Intel,2.8,4,Core i7 7700HQ,1920x1080,Full HD,Nvidia
Lenovo,15.6,8,AMD Radeon RX 550,Windows,10,2.1,1280,SSD + HDD,Intel,1.6,4,Core i5 8250U,1920x1080,IPS Panel Full HD,AMD
Acer,15.6,8,Nvidia GeForce GTX 1050,Linux,Ubuntu,2.5,256,SSD,Intel,2.8,4,Core i7 7700HQ,1920x1080,Full HD,Nvidia
MSI,17.3,16,Nvidia GeForce GTX 1070,Windows,10,2.8,1280,SSD + HDD,Intel,2.8,4,Core i7 7700HQ,1920x1080,Full HD,Nvidia
Asus,14.0,8,Intel HD Graphics 620,Windows,10,1.1,512,SSD,Intel,2.7,2,Core i7 7500U,1920x1080,Full HD,Intel
Toshiba,13.3,16,Intel HD Graphics 520,Windows,10,1.2,512,SSD,Intel,2.5,2,Core i7 6500U,1920x1080,Full HD,Intel
Dell,14.0,8,Intel HD Graphics,Windows,10,1.36,512,SSD,Intel,2.8,2,Core i7 7600U,1920x1080,Full HD,Intel
Lenovo,15.6,4,Intel HD Graphics 520,Windows,10,2.2,500,HDD,Intel,2.0,2,Core i3 6006U,1920x1080,Full HD,Intel
Lenovo,11.6,2,Intel HD Graphics 500,Windows,10,1.15,32,Flash Storage,Intel,1.1,2,Celeron Dual Core N3350,1366x768,Unknown,Intel
Lenovo,15.6,8,Nvidia Quadro M1200,Windows,10,2.67,512,SSD,Intel,2.8,4,Core i7 7700HQ,1920x1080,Full HD,Nvidia
Lenovo,14.0,8,Nvidia GeForce GT 940MX,Windows,10,1.7,512,SSD,Intel,2.8,4,Core i7 7700HQ,2560x1440,IPS Panel Full HD,Nvidia
HP,15.6,4,AMD Radeon 520,Windows,10,2.1,1024,HDD,Intel,2.0,2,Core i3 6006U,1920x1080,Full HD,AMD
Acer,13.3,8,Intel HD Graphics 520,Windows,10,1.6,256,SSD,Intel,2.5,2,Core i7 6500U,1920x1080,IPS Panel Full HD / Touchscreen,Intel
Asus,13.3,8,Intel HD Graphics 620,Windows,10,1.27,256,SSD,Intel,2.5,2,Core i5 7200U,1920x1080,IPS Panel Full HD / Touchscreen,Intel
Dell,15.6,4,AMD Radeon R5 M430,Linux,Ubuntu,2.3,256,SSD,Intel,2.5,2,Core i5 7200U,1920x1080,Full HD,AMD
Dell,13.3,4,Intel HD Graphics 520,Windows,10,1.65,128,SSD,Intel,2.0,2,Core i3 6006U,1366x768,Unknown,Intel
HP,14.0,8,Intel HD Graphics 520,Windows,10,1.43,256,SSD,Intel,2.5,2,Core i7 6500U,1920x1080,Full HD,Intel
Dell,15.6,8,Intel HD Graphics 620,Windows,10,2.14,1024,HDD,Intel,2.5,2,Core i5 7200U,1366x768,Unknown,Intel
Lenovo,14.0,8,AMD Radeon RX 550,Windows,10,1.75,256,SSD,Intel,1.8,4,Core i7 8550U,1920x1080,IPS Panel Full HD,AMD
Lenovo,15.6,16,Nvidia GeForce GTX 1050,Windows,10,2.0,512,SSD,Intel,2.8,4,Core i7 7700HQ,3840x2160,IPS Panel 4K Ultra HD / Touchscreen,Nvidia
Chuwi,12.3,6,Intel HD Graphics 500,Windows,10,1.4,64,Flash Storage,Intel,1.1,4,Celeron Quad Core N3450,2736x1824,IPS Panel Retina Display,Intel
HP,15.6,8,Intel HD Graphics 630,Windows,10,2.31,256,SSD,Intel,2.9,4,Core i7 7820HQ,1920x1080,Full HD,Intel
Asus,15.6,8,Nvidia GeForce 940MX,Linux,Ubuntu,2.3,1024,HDD,Intel,2.4,2,Core i3 7100U,1920x1080,Full HD,Nvidia
Dell,17.3,16,Nvidia GeForce GTX 1070,Windows,10,4.42,1280,SSD + HDD,Intel,2.9,4,Core i7 7820HK,2560x1440,IPS Panel,Nvidia
Dell,15.6,8,Nvidia GeForce GTX 1050 Ti,Windows,10,2.62,1152,SSD + HDD,Intel,2.8,4,Core i7 7700HQ,1920x1080,IPS Panel Full HD,Nvidia
Dell,15.6,8,AMD Radeon 530,Windows,10,2.02,2304,SSD + HDD,Intel,1.8,4,Core i7 8550U,1920x1080,Full HD,AMD
Dell,14.0,8,Intel HD Graphics 620,Linux,Ubuntu,1.6,256,SSD,Intel,2.8,2,Core i7 7600U,1920x1080,Full HD,Intel
HP,17.3,12,Nvidia GeForce GTX 1070,Windows,10,3.35,1280,SSD + HDD,Intel,2.8,4,Core i7 7700HQ,1920x1080,Full HD,Nvidia
Mediacom,11.6,4,Intel HD Graphics 500,Windows,10,1.16,32,SSD,Intel,1.1,2,Celeron Dual Core N3350,1920x1080,IPS Panel Full HD / Touchscreen,Intel
Samsung,11.6,4,Intel HD Graphics 400,Chrome OS,Chrome OS,1.15,16,Flash Storage,Intel,1.6,2,Celeron Dual Core N3060,1366x768,Unknown,Intel
Lenovo,13.3,8,Intel HD Graphics 620,Windows,10,1.4,256,SSD,Intel,2.7,2,Core i7 7500U,1920x1080,IPS Panel Full HD,Intel
Lenovo,14.0,4,Intel HD Graphics 620,Windows,10,1.7,128,SSD,Intel,2.7,2,Core i3 7130U,1920x1080,IPS Panel Full HD,Intel
Lenovo,15.6,16,Nvidia GeForce 940MX,Windows,10,2.3,512,SSD,Intel,2.8,2,Core i7 7600U,3840x2160,IPS Panel 4K Ultra HD,Nvidia
Lenovo,15.6,16,Nvidia Quadro M2200M,Windows,10,2.5,512,SSD,Intel,2.9,4,Core i7 7820HQ,1920x1080,Full HD,Nvidia
Asus,17.3,8,AMD Radeon RX 580,Windows,10,3.2,1280,SSD + HDD,AMD,3.2,6,Ryzen 1600,1920x1080,Full HD,AMD
HP,15.6,4,Intel HD Graphics 400,Windows,10,2.1,500,HDD,Intel,1.6,2,Celeron Dual Core N3060,1366x768,Unknown,Intel
Google,12.3,16,Intel HD Graphics 615,Chrome OS,Chrome OS,1.1,512,SSD,Intel,1.3,2,Core i7 7Y75,2400x1600,Touchscreen,Intel
Lenovo,14.0,24,Intel HD Graphics 620,Windows,10,1.32,512,SSD,Intel,2.7,2,Core i7 7500U,2560x1440,Unknown,Intel
Asus,15.6,4,Intel HD Graphics 620,Linux,Ubuntu,2.0,256,SSD,Intel,2.5,2,Core i5 7200U,1920x1080,Full HD,Intel
Lenovo,17.3,8,AMD Radeon R4,Windows,10,2.8,1024,HDD,AMD,2.5,2,A6 Series 9220,1600x900,Unknown,AMD
Dell,15.6,4,AMD Radeon 530,Windows,10,2.2,256,SSD,Intel,1.6,4,Core i5 8250U,1920x1080,Full HD,AMD
Lenovo,12.5,8,Intel HD Graphics 620,Windows,10,1.36,256,SSD,Intel,2.5,2,Core i5 7200U,1920x1080,IPS Panel Full HD,Intel
Lenovo,15.6,4,Intel HD Graphics 505,Windows,10,2.2,128,SSD,Intel,1.1,4,Pentium Quad Core N4200,1920x1080,Full HD,Intel
HP,15.6,8,Nvidia GeForce GTX 1050,Windows,10,2.2,1152,SSD + HDD,Intel,2.8,4,Core i7 7700HQ,1920x1080,IPS Panel Full HD,Nvidia
Dell,14.0,8,Nvidia GeForce 930MX,Windows,10,1.64,256,SSD,Intel,2.8,4,Core i5 7440HQ,1920x1080,Full HD,Nvidia
Acer,15.6,4,Intel HD Graphics 620,Linux,Ubuntu,2.4,500,HDD,Intel,2.5,2,Core i5 7200U,1366x768,Unknown,Intel
Dell,15.6,8,Nvidia Quadro M620,Windows,10,2.23,1088,Flash Storage + HDD,Intel,3.0,4,Xeon E3 1505M V6,1920x1080,Full HD,Nvidia
MSI,15.6,8,Nvidia GeForce GTX 1050,Windows,10,2.2,256,SSD,Intel,2.5,4,Core i5 7300HQ,1920x1080,Full HD,Nvidia
Microsoft,13.5,16,Intel Iris Plus Graphics 640,Windows,10 S,1.25,512,SSD,Intel,2.5,2,Core i7 7660U,2256x1504,Touchscreen,Intel
HP,15.6,8,Intel HD Graphics 620,Windows,10,1.91,128,SSD,Intel,2.5,2,Core i5 7200U,1366x768,Unknown,Intel
Dell,15.6,16,Nvidia Quadro M620,Windows,10,2.17,256,SSD,Intel,2.7,4,Core i7 6820HQ,1920x1080,IPS Panel Full HD,Nvidia
HP,15.6,8,Intel HD Graphics 620,Windows,10,2.31,512,SSD,Intel,2.9,4,Core i7 7820HQ,1920x1080,IPS Panel Full HD,Intel
Lenovo,14.0,8,Intel HD Graphics 620,Windows,10,1.65,256,SSD,Intel,2.5,2,Core i5 7200U,1920x1080,Full HD,Intel
Dell,15.6,8,AMD Radeon 530,Windows,10,2.36,1152,SSD + HDD,Intel,1.8,4,Core i7 8550U,1920x1080,Full HD,AMD
Dell,11.6,4,Intel HD Graphics 405,Windows,10,1.47,500,HDD,Intel,1.6,4,Pentium Quad Core N3710,1366x768,Touchscreen,Intel
Dell,17.3,8,Nvidia GeForce GTX 1060,Windows,10,4.42,1024,HDD,Intel,2.7,4,Core i7 7700HQ,1920x1080,IPS Panel Full HD,Nvidia
Microsoft,13.5,4,Intel HD Graphics 615,Windows,10 S,1.252,128,SSD,Intel,2.2,2,Core M m3 7Y30,2256x1504,Touchscreen,Intel
Microsoft,13.5,8,Intel Iris Plus Graphics 640,Windows,10 S,1.25,256,SSD,Intel,2.5,2,Core i7 7660U,2256x1504,Touchscreen,Intel
HP,17.3,8,Intel HD Graphics 520,Windows,10,2.5,256,SSD,Intel,2.0,2,Core i3 6006U,1600x900,Unknown,Intel
Acer,15.6,4,Nvidia GeForce 940MX,Windows,10,2.23,1024,HDD,Intel,2.0,2,Core i3 6006U,1920x1080,Full HD,Nvidia
Acer,11.6,4,Intel HD Graphics 400,Windows,10,1.4,128,SSD,Intel,1.6,2,Celeron Dual Core N3060,1366x768,Unknown,Intel
Asus,15.6,8,Intel HD Graphics 620,Windows,10,2.37,1024,HDD,Intel,2.5,2,Core i5 7200U,1920x1080,Full HD,Intel
Lenovo,14.0,8,AMD Radeon R7 M460,No OS,No OS,1.5,512,SSD,Intel,2.7,2,Core i7 7500U,1920x1080,IPS Panel Full HD,AMD
Lenovo,15.6,8,Nvidia Quadro M2200M,Windows,10,2.67,256,SSD,Intel,2.9,4,Core i7 7820HQ,1920x1080,Full HD,Nvidia
Asus,15.6,4,Intel HD Graphics 500,Windows,10,2.0,500,HDD,Intel,1.1,4,Pentium Quad Core N4200,1366x768,Unknown,Intel
Acer,15.6,4,Nvidia GeForce GTX 940MX,Windows,10,2.2,500,HDD,Intel,2.0,2,Core i3 6006U,1366x768,Unknown,Nvidia
Dell,15.6,8,AMD Radeon 530,Windows,10,2.02,2048,HDD,Intel,1.6,4,Core i5 8250U,1920x1080,Full HD,AMD
HP,17.3,12,Nvidia GeForce GTX 1060,Windows,10,3.78,1024,HDD,Intel,2.8,4,Core i7 7700HQ,1920x1080,IPS Panel Full HD,Nvidia
Lenovo,14.0,12,Intel HD Graphics 520,Windows,10,1.4,256,SSD,Intel,2.6,2,Core i7 6600U,2560x1440,IPS Panel Quad HD+,Intel
HP,13.3,8,Intel UHD Graphics 620,Windows,10,1.29,512,SSD,Intel,1.8,4,Core i7 8550U,3840x2160,IPS Panel 4K Ultra HD / Touchscreen,Intel
HP,15.6,8,AMD FirePro W4190M ,Windows,10,1.9,500,HDD,Intel,2.5,2,Core i5 7200U,1920x1080,Full HD,AMD
Google,12.3,8,Intel HD Graphics 615,Chrome OS,Chrome OS,1.1,128,SSD,Intel,1.2,2,Core i5 7Y57,2400x1600,Touchscreen,Intel
Dell,13.3,8,Intel UHD Graphics 620,Windows,10,1.42,256,SSD,Intel,1.6,4,Core i5 8250U,1920x1080,Full HD / Touchscreen,Intel
Asus,15.6,12,Intel HD Graphics 530,Windows,10,2.06,1152,SSD + HDD,Intel,2.6,4,Core i7 6700HQ,3840x2160,IPS Panel 4K Ultra HD,Intel
Dell,14.0,8,Intel HD Graphics 520,Windows,10,1.79,128,SSD,Intel,2.3,2,Core i3 6100U,1366x768,Unknown,Intel
Dell,15.6,8,Nvidia Quadro M1200,Windows,10,1.78,256,SSD,Intel,2.8,4,Core i7 7700HQ,1920x1080,Full HD,Nvidia
Lenovo,14.0,8,Intel HD Graphics 620,Windows,10,1.7,1,SSD,Intel,2.5,2,Core i5 7200U,1920x1080,Full HD,Intel
Dell,15.6,8,AMD Radeon 520,Windows,10,2.2,1024,HDD,Intel,1.6,4,Core i5 8250U,1920x1080,Full HD,AMD
Toshiba,13.3,8,Intel HD Graphics 620,Windows,10,1.05,256,SSD,Intel,2.5,2,Core i5 7200U,1920x1080,IPS Panel Full HD,Intel
Dell,15.6,8,Nvidia GeForce 940MX,Windows,10,2.16,512,SSD,Intel,1.8,4,Core i7 8550U,1920x1080,IPS Panel Full HD,Nvidia
Dell,15.6,4,Intel HD Graphics 620,Windows,10,2.18,1024,HDD,Intel,2.4,2,Core i3 7100U,1366x768,Unknown,Intel
HP,13.3,4,Intel UHD Graphics 620,Windows,10,1.49,128,SSD,Intel,1.6,4,Core i5 8250U,1920x1080,IPS Panel Full HD,Intel
Chuwi,15.6,4,Intel HD Graphics,Windows,10,1.89,64,Flash Storage,Intel,1.44,4,Atom x5 Z8350,1920x1080,Full HD,Intel
Lenovo,15.6,4,Intel HD Graphics 520,Windows,10,2.3,128,SSD,Intel,2.0,2,Core i3 6006U,1366x768,Unknown,Intel
Lenovo,14.0,8,Intel UHD Graphics 620,Windows,10,1.75,256,SSD,Intel,1.6,4,Core i5 8250U,1920x1080,IPS Panel Full HD,Intel
Dell,15.6,16,Nvidia Quadro M620,Windows,10,2.17,512,SSD,Intel,2.7,4,Core i7 6820HQ,1920x1080,IPS Panel Full HD,Nvidia
Dell,15.6,16,Nvidia GeForce GTX 1050,Windows,10,2.06,512,SSD,Intel,2.8,4,Core i7 7700HQ,1920x1080,Full HD,Nvidia
Lenovo,12.5,16,Intel HD Graphics 620,Windows,10,1.36,512,SSD,Intel,2.7,2,Core i7 7500U,1920x1080,IPS Panel Full HD,Intel
Asus,12.5,16,Intel HD Graphics 620,Windows,10,0.91,512,SSD,Intel,2.7,2,Core i7 7500U,1920x1080,Full HD,Intel
Lenovo,15.6,8,Nvidia GeForce 940MX,Windows,10,2.3,256,SSD,Intel,2.5,2,Core i5 7200U,1920x1080,IPS Panel Full HD,Nvidia
Toshiba,13.3,32,Intel HD Graphics 620,Windows,10,1.05,512,SSD,Intel,2.7,2,Core i7 7500U,1920x1080,Full HD / Touchscreen,Intel
Asus,15.6,8,Nvidia GeForce GTX 1050,Windows,10,1.99,1152,SSD + HDD,Intel,2.8,4,Core i7 7700HQ,1920x1080,Full HD,Nvidia
Acer,15.6,8,AMD Radeon RX 540,Windows,10,2.2,1024,HDD,AMD,2.5,4,A10 Series 9620P,1366x768,Unknown,AMD
Asus,17.3,24,Nvidia GeForce GTX 965M,Windows,10,4.33,1280,SSD + HDD,Intel,2.6,4,Core i7 6700HQ,1920x1080,IPS Panel Full HD / Touchscreen,Nvidia
Lenovo,12.5,8,Intel HD Graphics 520,Windows,10,1.3,1,SSD,Intel,2.3,2,Core i5 6200U,1366x768,IPS Panel,Intel
Lenovo,15.6,8,Intel UHD Graphics 620,Windows,10,2.17,256,SSD,Intel,1.8,4,Core i7 8550U,1920x1080,Full HD,Intel
HP,14.0,8,Intel HD Graphics 620,Windows,10,1.48,1024,SSD,Intel,2.8,2,Core i7 7600U,1920x1080,Full HD,Intel
Lenovo,13.3,8,Intel HD Graphics 620,Windows,10,1.4,256,SSD,Intel,2.4,2,Core i3 7100U,1920x1080,IPS Panel Full HD,Intel
Lenovo,15.6,8,Intel HD Graphics 620,Windows,10,2.3,256,SSD,Intel,2.5,2,Core i5 7200U,1920x1080,IPS Panel Full HD,Intel
Asus,11.6,4,Intel HD Graphics 500,Windows,10 S,1.2,64,Flash Storage,Intel,1.1,2,Celeron Dual Core N3350,1366x768,Unknown,Intel
HP,15.6,8,AMD Radeon 520,Windows,10,1.91,256,SSD,Intel,2.5,2,Core i5 7200U,1366x768,Unknown,AMD
Lenovo,13.9,8,Intel UHD Graphics 620,Windows,10,1.4,256,SSD,Intel,1.6,4,Core i5 8250U,1920x1080,IPS Panel Full HD / Touchscreen,Intel
Lenovo,14.0,4,Intel HD Graphics 500,Windows,10,2.1,500,HDD,Intel,1.1,2,Celeron Dual Core N3350,1366x768,Unknown,Intel
Lenovo,11.6,4,Intel HD Graphics 400,Chrome OS,Chrome OS,1.25,16,SSD,Intel,1.6,2,Celeron Dual Core N3060,1366x768,Unknown,Intel
Lenovo,13.3,8,Intel HD Graphics 620,Windows,10,1.44,256,SSD,Intel,2.5,2,Core i5 7200U,1920x1080,Full HD,Intel
Asus,15.6,8,Intel HD Graphics 620,Windows,10,2.0,1280,SSD + HDD,Intel,2.7,2,Core i7 7500U,1920x1080,Full HD,Intel
Acer,15.6,4,Nvidia GeForce MX150,Windows,10,2.2,1024,HDD,Intel,1.6,4,Core i5 8250U,1920x1080,IPS Panel Full HD,Nvidia
HP,13.3,8,Intel HD Graphics 620,Windows,10,1.34,512,SSD,Intel,2.7,2,Core i7 7500U,1920x1080,IPS Panel Full HD,Intel
Lenovo,15.6,8,Nvidia GeForce GTX 1060,No OS,No OS,2.4,1280,SSD + HDD,Intel,2.8,4,Core i7 7700HQ,1920x1080,IPS Panel Full HD,Nvidia
Dell,13.3,8,Intel HD Graphics 620,Windows,10,1.29,128,SSD,Intel,2.5,2,Core i5 7200U,1920x1080,IPS Panel Full HD / Touchscreen,Intel
Acer,15.6,4,Nvidia GeForce 940MX,Windows,10,2.2,500,HDD,Intel,2.7,2,Core i7 7500U,1920x1080,Full HD,Nvidia
Dell,15.6,8,Intel HD Graphics 620,Windows,10,2.18,1024,HDD,Intel,2.5,2,Core i5 7200U,1920x1080,Full HD,Intel
Dell,15.6,16,AMD Radeon 530,Windows,10,2.2,2304,SSD + HDD,Intel,1.8,4,Core i7 8550U,1920x1080,Full HD,AMD
Xiaomi,15.6,16,Nvidia GeForce MX150,No OS,No OS,1.95,256,SSD,Intel,1.8,4,Core i7 8550U,1920x1080,IPS Panel Full HD,Nvidia
Asus,11.6,2,Intel HD Graphics 500,Windows,10,1.1,32,Flash Storage,Intel,1.1,2,Celeron Dual Core N3350,1366x768,Unknown,Intel
HP,15.6,4,Intel UHD Graphics 620,Windows,10,2.04,1024,HDD,Intel,1.6,4,Core i5 8250U,1366x768,Touchscreen,Intel
Asus,15.6,24,Nvidia GeForce GTX1080,Windows,10,2.24,512,SSD,Intel,2.8,4,Core i7 7700HQ,1920x1080,Full HD,Nvidia
HP,15.6,8,Nvidia GeForce 930MX,Windows,10,2.04,256,SSD,Intel,2.5,2,Core i5 7200U,1920x1080,Full HD,Nvidia
Asus,17.3,16,Nvidia GeForce GTX1050 Ti,Windows,10,3.0,1280,SSD + HDD,Intel,2.8,4,Core i7 7700HQ,1920x1080,Full HD,Nvidia
Lenovo,15.6,8,Nvidia GeForce GTX 1060,Windows,10,3.2,1280,SSD + HDD,Intel,2.8,4,Core i7 7700HQ,1920x1080,IPS Panel Full HD,Nvidia
HP,13.3,8,Intel HD Graphics 620,Windows,10,1.32,256,SSD,Intel,2.7,2,Core i7 7500U,1920x1080,IPS Panel Full HD,Intel
Dell,14.0,8,Intel HD Graphics 620,Windows,10,1.64,256,SSD,Intel,2.6,2,Core i5 7300U,1920x1080,Full HD,Intel
HP,15.6,4,Intel HD Graphics 520,Windows,10,1.63,128,SSD,Intel,2.0,2,Core i3 6006U,1366x768,Unknown,Intel
Dell,17.3,8,AMD Radeon 530,Linux,Ubuntu,2.8,1152,SSD + HDD,Intel,1.6,4,Core i5 8250U,1920x1080,IPS Panel Full HD,AMD
